"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment3"
"04/12/2017 17:37:27:313 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","mean [distance min-one-of patches with [goodcoast? = true] [distance myself]] of camps"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","48","8771.136178378485","5296000","110983000","123620400","0","34884800","189998998","0","8262800","21024432","33350","1705650","26945600","0.003402777777777778","0.6019606481481482","2808.22","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","49","11787.01833255896","5910000","112767080","127845600","0","36203100","201542488","0","8323500","21357180","33350","1723350","27417500","0.0034693877551020408","0.6014444444444444","2865.95","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","50","10989.939369458882","6288000","116619440","137792400","0","38776900","213559164","0","8549500","21815352","33350","1776450","28088500","0.0034","0.5975177777777778","2913.061","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","51","10508.900062734258","6380000","120194560","141898800","0","39541900","216094746","0","8710600","22032036","33350","1811550","28645100","0.003366013071895425","0.5962668845315904","2965.725","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","52","9889.492731735287","6410000","123168800","143994000","0","40068200","217568470","0","8963300","23835240","33350","1845300","29197300","0.0033012820512820515","0.5959391025641025","3021.964","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","53","9668.573743642604","6446000","125667440","145492800","0","40560300","220745868","0","9170700","24561576","36250","1880250","29752800","0.0033018867924528303","0.5961174004192873","3080.781","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","54","9739.494283649377","6468000","127939880","146685600","0","41002500","223909980","0","9417600","25020684","36250","1915500","30310500","0.0032407407407407406","0.5966183127572017","3140.901","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","55","11264.247881560863","6498000","130146200","147733200","0","41410300","226449650","0","9659900","25498980","36250","1949850","30889100","0.0033030303030303033","0.5971969696969697","3201.845","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","56","9991.15738167122","6516000","132220280","148695600","0","41761900","228356702","0","9837400","25764336","36250","1984950","31464400","0.0033035714285714283","0.5979285714285714","3264.048","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","57","9236.699934331271","6538000","133959120","149468400","0","42093600","230431362","0","9952400","25878996","36250","2019750","32018800","0.003304093567251462","0.5990506822612086","3327.487","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","58","10011.741771094948","6554000","135522800","150214800","0","42384900","232217818","0","10041200","25935156","36250","2055450","32587500","0.003333333333333333","0.6003227969348659","3392","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","59","8718.89362063379","6582000","136869560","151046400","0","42676000","233861194","0","10118900","26053560","39150","2092350","33137500","0.003446327683615819","0.6016977401129944","3457.283","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","60","9741.877977439275","6594000","138050440","151866000","0","42993400","235022186","0","10192600","26142948","39150","2130600","33686400","0.0034444444444444444","0.6032351851851852","3522.61","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","61","10879.731996843726","6888000","139554960","154142400","0","43645100","241690736","0","10271200","26324532","39150","2165250","34130800","0.0034972677595628415","0.6037750455373406","3585.605","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","62","10880.38866271174","7594000","143269280","164804400","0","46692700","258001856","0","10473600","26968968","47850","2203050","34834800","0.0034408602150537634","0.6001254480286738","3631.49","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","63","10137.376747062639","7674000","146947640","169977600","0","47597000","260889006","0","10636600","27219816","47850","2238900","35384800","0.003412698412698413","0.5987768959435625","3683.374","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","64","9644.076647348276","7720000","150116760","172384800","0","48135300","262575306","0","10841300","28525536","47850","2276400","35971100","0.003359375","0.5982821180555555","3739.3","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","65","10623.067040745806","7740000","152696600","173758800","0","48627600","264746034","0","11070700","29726424","47850","2311350","36525500","0.0033846153846153844","0.5983478632478633","3797.627","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","66","10904.018715327413","7772000","154884360","174943200","0","49102800","268541742","0","11286700","30032496","47850","2346750","37097500","0.003333333333333333","0.5987070707070707","3858.162","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","67","9266.798486670556","7792000","157160280","175963200","0","49461800","270778900","0","11568800","30662892","47850","2381250","37650800","0.0033582089552238806","0.599125207296849","3918.631","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","68","9343.504219498567","7830000","159199560","176944800","0","49866400","273030366","0","11754200","30822012","47850","2417700","38214000","0.003431372549019608","0.5997197712418301","3980.557","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","69","8483.98062720049","7832000","161030040","177944400","0","50227800","274675786","0","11858500","31015764","52200","2454300","38766200","0.0034782608695652175","0.6005338164251208","4044.043","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","70","9231.145381274318","7854000","162665640","178789200","0","50519800","276923164","0","11964400","31088304","53650","2490750","39320600","0.0034999999999999996","0.6015380952380952","4108.186","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","71","10568.107995335164","7856000","163982240","179574000","0","50821900","278524638","0","12056900","31178628","58000","2526450","39891500","0.003591549295774648","0.6026815336463224","4173.54","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","72","10720.95427258719","7876000","165258240","180424800","0","51120700","280000406","0","12149600","31268484","58000","2564250","40460200","0.003680555555555556","0.603826388888889","4238.818","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","73","10431.858658041023","7888000","166468120","181135200","0","51416100","281546692","0","12214300","31393908","58000","2603400","41021200","0.0036529680365296802","0.6050296803652968","4304.321","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","74","9700.317824326343","8796000","169963200","192166800","0","54667000","302518132","0","12407800","32047704","58000","2641200","41617400","0.0036036036036036037","0.6017665165165165","4349.477","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","75","10279.420206983683","8940000","173697240","197815200","0","55724500","306285224","0","12568900","32210568","58000","2679750","42168500","0.0035777777777777782","0.6004762962962963","4400.878","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","76","10597.347679842074","8970000","176847800","200635200","0","56336600","308233156","0","12759100","33101640","58000","2715750","42730600","0.0035307017543859654","0.5999671052631579","4456.022","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","77","10216.439598358327","8980000","179565680","202268400","0","56785100","310135098","0","12992300","34804692","58000","2750100","43276200","0.0035064935064935063","0.5998621933621934","4513.932","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","78","9464.455652808674","9018000","181819560","203587200","0","57282400","313794880","0","13200700","35012016","58000","2784300","43848200","0.003504273504273504","0.6001574074074074","4574.266","213.93773176883946"
